root@nfsclient:/home/vedams/iozone3_394/src/current# iozone -aczR -g 2097152 -U /nfs/general -f /nfs/general/testfile -b exceloutput.xls
        Iozone: Performance Test of File I/O
                Version $Revision: 3.429 $
                Compiled for 64 bit mode.
                Build: linux-AMD64

        Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
                     Al Slater, Scott Rhine, Mike Wisner, Ken Goss
                     Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
                     Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
                     Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
                     Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
                     Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
                     Vangel Bojaxhi, Ben England, Vikentsi Lapa.
addition
        Run began: Wed Feb 22 18:06:58 2017

        Auto Mode
        Include close in write timing
        Cross over of record size disabled.
        Excel chart generation enabled
        Using maximum file size of 2097152 kilobytes.
        Command line used: iozone -aczR -g 2097152 -U /nfs/general -f /nfs/general/testfile -b exceloutput.xls
        Output is in kBytes/sec
        Time Resolution = 0.000001 seconds.
        Processor cache size set to 1024 kBytes.
        Processor cache line size set to 32 bytes.
        File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                   
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    23061    29893   112844   109395    21150    20617    15643     37016     99686    27386    27574    77118    61066
              64       8     3496    27200   108292   126215    29492    22510    37782     37623    117230    25177    29115    62083    20532
              64      16     7690     8271   251861   293434    98011    26478    46572     36612     75386    26903    26100    77474    95399
              64      32    27526    28958   308970   338589    77096    27563    71415     23079     50745    14372    26959    80086    83111
              64      64    26209    28445   300665   344233    88277    27597    79991     26143     85114    28059    29505    96949    95230
             128       4    38348    40470   137949   126865    28489    39592    20931     75384     84602    40842    37792   100938   103727
             128       8    36248    38288   162845   121551    44093    44803    35594     78965    173643    40439    43613    97705    89021
             128      16    40239    40568   156668   199002    64320      516    33917     73778    184440    39949    42009    93845   100560
             128      32    38461    37038   558771   509943   108550    42230    77764     67762    120867    40531    36611   137349   120164
             128      64    37436    43154   531131   615109   146653    37415   109592     53378    104068    40660    40288   129434   140659
             128     128    36457    42454   449337   677178   130886    42595   140036     40635    102167    41212    41612   135170   126090
             256       4    38624    51538   196626   190622    29044    54202    23624    155236     84741    52457    53356   150852   152200
             256       8    48410    57169   197386   184720    54166    53951    42091    149010    111213    53690    53235   122730   143169
             256      16    51580    47146   222823   187690    73625    54516    67030    144149    340459    53444    52717   128702   154034
             256      32    50098    49277   261009   251002   100784    49383   106134    127118    203637    47724    55219   157814   149363
             256      64    48439    52935   868157   908560   149779    49660    90269    109545    172855    52403    54783   168752   168303
